장소명,"분위기 있는","활동적인","자연","조용한","아늑한","포토존","사람많은","아이와함께","부모님과함께","문화,유적","휴양","유흥","데이트명소","나들이","일몰감상","일출명소","포토존","해수욕장","계곡","워터파크","바닷가","저수지","수영장","공원","생태공원","수목공원","식물원","동물원","수목원","놀이공원","테마파크","애완카페","유적지","절","교회","성당","문화재","박물관","전시회","문화관광지",정답,"주소 ",위도,경도
대저생태공원,"0","1","1","1","1","0","0","1","0","1","1","0","1","1","0","0","1","0","0","0","0","0","0","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1",1,"부산광역시 강서구 대저1동 2314-11",35.2098489215235,128.984556072976
감천문화마을,"0","1","0","1","1","1","0","1","1","1","1","0","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",1,"부산광역시 사하구 감내2로 203",35.0974881365854,129.010608479318
삼락강변체육공원,"0","1","1","0","1","0","1","0","1","0","1","0","1","0","0","0","1","1","1","1","0","1","1","0","0","1","1","1","0","0","0","0","0","0","1","0","1","0","1","0",1,"부산 사상구 삼락동 29-46",35.1691336482258,128.973187787413
맥도생태공원,"1","1","1","0","1","0","1","1","1","1","1","1","0","1","1","0","0","1","0","1","0","0","1","1","1","1","1","0","0","1","1","1","0","1","1","1","0","1","0","1",0,"부산 강서구 공항로 500",35.152308987244,128.954900122584
광안리해수욕장,"1","0","0","1","0","1","0","1","0","1","0","1","1","0","0","0","0","1","1","1","1","1","0","0","1","1","1","1","1","0","1","1","1","1","1","1","0","1","1","1",0,"부산 수영구 광안해변로 219",35.1537727634193,129.118519972498
해동용궁사,"0","1","0","1","1","1","0","0","0","1","0","1","1","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","1","0","1","0","0","0","1","1","1","0","0","0",0,"부산 기장군 기장읍 용궁길 86",35.1882392674714,129.223245860198
부산시민공원,"1","0","0","1","1","0","0","1","0","0","0","1","1","0","1","1","0","0","1","1","0","0","0","1","1","0","1","1","1","0","1","0","1","0","1","0","1","1","1","0",0,"부산 부산진구 시민공원로 73",35.1654551093013,129.055853718932
태종대 유원지,"0","0","1","1","0","0","0","1","1","1","1","0","1","0","1","1","0","0","1","1","0","1","0","1","1","0","0","0","1","0","1","1","1","1","0","1","1","0","1","0",1,"부산 영도구 동삼동 산 29-1",35.052527017969,129.087788693275
부산자갈치시장,"1","1","0","1","1","1","1","0","0","1","0","1","0","0","1","1","1","0","0","1","1","1","1","0","1","0","0","0","1","0","1","1","1","1","0","0","0","1","0","1",0,"부산 중구 자갈치해안로 52",35.0966137768508,129.030583690953
부산아쿠아리움,"0","1","1","0","0","1","1","1","1","1","1","0","1","0","0","1","1","1","0","0","1","0","1","1","1","0","0","0","0","1","0","0","0","1","0","1","1","0","0","1",1,"부산 해운대구 해운대해변로 266",35.1591996329783,129.161015391536
삼락생태공원,"0","1","1","1","0","0","0","0","1","0","1","0","1","1","0","1","1","1","0","0","0","1","0","0","0","0","1","1","0","1","0","1","1","0","0","1","0","1","1","1",1,"부산 사상구 삼락동 29-46",35.1691336482258,128.973187787413
범어사,"0","0","0","1","1","0","1","1","1","1","0","0","1","1","1","1","1","1","0","0","0","0","0","1","1","0","1","1","1","1","1","0","0","0","1","1","1","0","1","1",1,"부산 금정구 범어사로 250",35.2830426366443,129.067620787638
광안대교,"0","0","0","0","0","1","0","1","0","0","0","0","1","0","1","1","1","1","1","0","0","1","0","0","0","0","1","1","1","0","1","1","1","1","1","0","1","0","1","0",1,"부산 수영구 남천동",35.1360584288744,129.112909555603
삼정더파크,"1","1","1","0","0","1","1","1","1","0","0","0","1","0","0","1","1","1","1","0","0","1","0","0","0","0","0","0","0","1","1","1","1","1","0","1","1","1","0","1",1,"부산광역시 부산진구 새싹로 295-1",35.1842724888681,129.044371206534
해운대전통시장,"1","0","0","1","1","1","0","0","1","0","1","1","0","1","1","1","1","1","1","1","0","1","1","1","0","0","1","0","1","1","0","1","0","1","0","0","1","1","0","0",0,"부산 해운대구 구남로41번길 22-1",35.1614038701049,129.162315343092
용두산공원,"1","0","1","0","1","1","1","0","0","1","0","1","1","0","0","0","0","0","1","1","1","1","1","1","0","0","1","0","1","0","0","0","1","0","0","0","0","1","0","1",0,"부산 중구 용두산길 37-55",35.100929432638,129.032442805252
국립부산과학관,"0","0","1","0","0","1","1","0","1","0","1","1","1","1","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","1","0","0","1","1","0","0","1","0","0",0,"부산 기장군 기장읍 동부산관광6로 59",35.2044215776897,129.212599859203
Spaland 신세계센텀점,"1","1","1","0","0","0","0","1","1","0","1","0","1","0","1","1","0","1","0","1","1","1","0","0","0","1","1","0","0","0","1","0","1","0","1","0","0","0","1","1",0,"부산 해운대구 센텀남대로 35 1층",35.1688178394069,129.129523260187
오륙도스카이워크,"0","0","0","0","0","1","1","0","0","0","1","1","0","1","1","0","0","1","1","1","1","1","1","1","0","0","0","1","0","0","1","0","0","0","0","0","1","0","1","0",0,"부산 남구 오륙도로 137",35.1014378911125,129.123105610641